x,y,z
-154.86,491.42,-65
-160.97,502.19,-73.14
-240.88,444.41,-65
-246.975,455.16,-73.445
-327.725,396.83,-65
-333.835,407.6,-73.15
-388.355,363.83,-65
-394.455,374.59,-72.465
-434.2,354.735,-65
-434.2,367.1,-71.72
-479.115,355.11,-65
-479.115,367.475,-71.195
-496.41,368.97,-65
-484.03,368.97,-71.43
-495.66,509.54,-65
-483.28,509.54,-72.55
-495.69,680.11,-65
-483.32,680.11,-72.87
-495.915,850.68,-65
-483.53,850.68,-72.595
-495.87,991.25,-65
-483.485,991.25,-72.495
-479.515,1025.65,-65
-470.88,1016.78,-71.345
-437.725,1065.3,-65
-429.1,1056.44,-71.33
-395.82,1104.83,-65
-387.2,1095.975,-71.35
-361.61,1114.635,-65
-361.61,1102.25,-70.715
-308.69,1114.175,-65
-308.69,1101.795,-70.35
-255.765,1113.615,-65
-255.765,1101.25,-69.95
-221.445,1104.94,-65
-230.09,1096.065,-71.145
-181.04,1063.875,-65
-189.675,1055.005,-72.17
-140.41,1023.03,-65
-149.055,1014.155,-72.41
-124.12,991.25,-65
-136.475,991.25,-72.71
-122.97,866.115,-65
-135.35,866.115,-73.995
-122.48,710.98,-65
-134.85,710.98,-74.16
-123.08,556.84,-65
-135.435,556.84,-73.19
