x,y,z
-464.465,485.555,-100
-478.17,461.405,-53.87
-379.17,437.28,-100
-392.86,413.145,-53.595
-292.825,388.81,-100
-306.54,364.64,-53.28
-232.505,355.275,-100
-246.205,331.125,-52.935
-181.8,343.045,-100
-181.8,315.29,-51.84
-136.885,343.635,-100
-136.885,315.875,-52.6
-114.69,368.97,-100
-86.915,368.97,-53.745
-115.715,509.54,-100
-87.955,509.54,-53.945
-115.545,680.11,-100
-87.745,680.11,-54.425
-114.505,850.68,-100
-86.745,850.68,-53.745
-113.5,991.25,-100
-85.705,991.25,-54.19
-133.84,1028.365,-100
-114.465,1048.25,-53.465
-175.305,1068.35,-100
-155.925,1088.24,-52.98
-216.61,1108.495,-100
-197.215,1128.4,-52.88
-254.39,1120.215,-100
-254.39,1147.975,-51.725
-307.31,1120.55,-100
-307.31,1148.31,-51.36
-360.235,1120.01,-100
-360.235,1147.77,-51.105
-396.765,1107.215,-100
-416.155,1127.115,-52.27
-437.695,1066.68,-100
-457.065,1086.565,-52.69
-478.665,1026.19,-100
-498.04,1046.075,-52.88
-500.79,991.25,-100
-528.545,991.25,-52.955
-500.6,866.115,-100
-528.38,866.115,-53.395
-501.415,710.98,-100
-529.21,710.98,-53.64
-502.28,556.84,-100
-530.045,556.84,-53.585
