x,y,z
-458.99,495.21,-65
-452.875,505.995,-72.67
-374.69,445.17,-65
-368.595,455.92,-72.23
-288.84,395.83,-65
-282.74,406.585,-71.955
-228.9,361.625,-65
-222.8,372.38,-70.655
-181.8,356.025,-65
-181.8,368.39,-69.665
-136.885,356.305,-65
-136.885,368.68,-70.575
-128.755,368.97,-65
-141.14,368.97,-70.54
-129.835,509.54,-65
-142.22,509.54,-72.035
-128.675,680.11,-65
-141.055,680.11,-72.38
-126.285,850.68,-65
-138.64,850.68,-71.815
-123.405,991.25,-65
-135.765,991.25,-70.045
-137.66,1024.445,-65
-146.28,1015.59,-68.915
-178.715,1064.845,-65
-187.34,1055.99,-68.4
-219.7,1105.32,-65
-228.34,1096.45,-67.65
-254.39,1115.395,-65
-254.39,1103,-67.01
-307.31,1115.835,-65
-307.31,1103.46,-66.205
-360.235,1115.2,-65
-360.235,1102.835,-66.82
-392.92,1103.265,-65
-384.28,1094.39,-68.825
-433.93,1062.815,-65
-425.28,1053.935,-70.58
-474.96,1022.385,-65
-466.31,1013.5,-70.82
-488.26,991.25,-65
-475.905,991.25,-71.795
-487.99,866.115,-65
-475.61,866.115,-72.615
-489.35,710.98,-65
-476.985,710.98,-72.815
-492.335,556.84,-65
-479.945,556.84,-71.85
